ExternOrderNo,SKU,Order Qty
2001809820,8.90422E+12,2.00
2001809820,8.90422E+12,1.00
2001809820,8.90422E+12,1.00
2001809820,8.90422E+12,1.00
2001809820,8.90422E+12,1.00
2001809820,8.90422E+12,1.00
2001809820,8.90422E+12,1.00
2001809820,8.90422E+12,1.00
2001809820,8.90422E+12,1.00
2001809794,8.90422E+12,1.00
2001809794,8.90422E+12,1.00
2001809794,8.90422E+12,1.00
2001809794,8.90422E+12,1.00
2001809794,8.90422E+12,1.00
2001809794,GIFTBOX202004,1.00
2001809794,8.90422E+12,1.00
2001809592,8.90422E+12,1.00
2001809592,8.90422E+12,8.00
2001809592,8.90422E+12,2.00
2001809592,8.90422E+12,1.00
2001809383,8.90422E+12,1.00
2001809383,8.90422E+12,1.00
2001809383,8.90422E+12,1.00
2001809270,8.90422E+12,1.00
2001809270,8.90422E+12,1.00
2001809270,8.90422E+12,1.00
2001808992,8.90422E+12,1.00
2001808992,8.90422E+12,1.00
2001808992,8.90422E+12,1.00
2001808883,8.90422E+12,1.00
2001808883,8.90422E+12,1.00
2001808883,8.90422E+12,1.00
2001808837,8.90422E+12,1.00
2001808837,8.90422E+12,1.00
2001808837,8.90422E+12,1.00
2001808832,8.90422E+12,1.00
2001808801,8.90422E+12,2.00
2001808801,8.90422E+12,2.00
2001808801,8.90422E+12,1.00
2001808801,8.90422E+12,1.00
2001808739,8.90422E+12,1.00
2001808739,8.90422E+12,1.00
2001808679,8.90422E+12,1.00
2001808679,8.90422E+12,1.00
2001808679,8.90422E+12,1.00
2001808675,8.90422E+12,1.00
2001808675,8.90422E+12,1.00
2001808675,8.90422E+12,1.00
2001808675,8.90422E+12,1.00
2001808675,GIFTBOX202001,1.00
2001808675,8.90422E+12,1.00
2001808585,8.90422E+12,1.00
2001808585,8.90422E+12,1.00
2001808585,8.90422E+12,1.00
2001808542,8.90422E+12,2.00
2001808542,8.90422E+12,2.00
2001808507,8.90422E+12,1.00
2001808507,8.90422E+12,1.00
2001808507,8.90422E+12,1.00
2001808475,8.90422E+12,1.00
2001808475,8.90422E+12,1.00
2001808475,8.90422E+12,1.00
2001808295,8.90422E+12,1.00
2001808295,8.90422E+12,1.00
2001808286,8.90422E+12,1.00
2001808286,8.90422E+12,1.00
